                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.71109,                0.42048,                0.88264,                0.91478,                0.82942,                0.90668,                  0.665,                0.68236,                0.38366,                0.88009,               0.007723,               0.007723,               0.007723
                     72,                0.71531,                0.42262,                0.88031,                0.92107,                0.82145,                0.90281,                 0.6642,                0.67817,                0.38103,                0.88066,                0.00769,                0.00769,                0.00769
                     73,                 0.7134,                0.41979,                0.88079,                0.91116,                0.83072,                0.90516,                0.66583,                0.67829,                 0.3863,                0.87919,               0.007657,               0.007657,               0.007657
                     74,                0.71085,                0.42164,                0.88108,                 0.9206,                0.82559,                0.90684,                0.66634,                0.67869,                0.38436,                 0.8783,               0.007624,               0.007624,               0.007624
                     75,                0.71236,                0.41989,                0.88012,                0.91775,                0.83138,                0.90602,                0.66619,                0.67866,                0.38405,                0.87927,               0.007591,               0.007591,               0.007591
                     76,                0.70471,                0.41839,                0.87774,                0.92232,                0.82949,                0.90749,                 0.6693,                0.67444,                0.38188,                0.87601,               0.007558,               0.007558,               0.007558
                     77,                0.70181,                0.41547,                0.87646,                0.91852,                0.83176,                0.90781,                0.67084,                0.67207,                0.37996,                0.87725,               0.007525,               0.007525,               0.007525
                     78,                0.70061,                0.41403,                0.87436,                0.89537,                0.84385,                0.90919,                 0.6691,                0.67162,                0.37916,                0.87481,               0.007492,               0.007492,               0.007492
                     79,                0.69783,                0.41181,                0.87605,                0.91152,                0.82795,                0.90372,                0.66868,                0.66867,                0.37972,                0.87516,               0.007459,               0.007459,               0.007459
                     80,                0.69662,                0.41111,                0.87441,                0.91219,                0.83773,                 0.9107,                0.67344,                0.66696,                 0.3772,                0.87424,               0.007426,               0.007426,               0.007426
                     81,                0.69523,                0.40914,                0.87365,                0.92624,                0.83507,                0.91056,                0.67642,                0.66413,                0.37584,                0.87461,               0.007393,               0.007393,               0.007393
                     82,                0.69204,                0.40765,                 0.8751,                0.92163,                0.83408,                 0.9091,                0.67409,                0.66121,                0.37394,                0.87492,                0.00736,                0.00736,                0.00736
                     83,                0.68918,                0.40679,                0.87302,                0.92314,                   0.83,                0.90724,                0.67415,                0.66119,                0.37435,                0.87404,               0.007327,               0.007327,               0.007327
                     84,                0.68483,                 0.4072,                0.87156,                0.92034,                0.82899,                0.90766,                0.67451,                0.65913,                0.37279,                0.87353,               0.007294,               0.007294,               0.007294
                     85,                0.68628,                 0.4058,                0.87124,                0.92548,                0.82847,                0.90829,                 0.6757,                0.65827,                0.37287,                0.87304,               0.007261,               0.007261,               0.007261
                     86,                0.68976,                0.40554,                0.87205,                0.91305,                 0.8422,                0.91169,                 0.6744,                0.65969,                0.36965,                0.87194,               0.007228,               0.007228,               0.007228
                     87,                0.68472,                0.40338,                 0.8707,                0.91663,                0.83106,                0.90684,                0.67674,                0.65511,                0.36818,                0.87135,               0.007195,               0.007195,               0.007195
